"IDL","NOML","IDLPÈRE"
1,"FRANCE",
2,"ILE-DE-FRANCE",1
3,"NOUVELLE-AQUITAINE",1
4,"AUVERGNE-RHONE-ALPES",1
5,"BRETAGNE",1
6,"NORMANDIE",1
7,"OCCITANIE",1
8,"PAYS DE LA LOIRE",1
9,"HAUTS-DE-FRANCE",1
10,"GRAND EST",1
11,"PROVENCE-ALPES-COTE DAZUR",1
12,"CORSE",1
13,"CENTRE-VAL DE LOIRE",1
14,"BOURGOGNE-FRANCHE-COMTE",1
15,"Departement de Paris",2
16,"Rhône",4
17,"Bouches-du-Rhône",11
18,"Haute-Garonne",7
19,"Loire-Atlantique",8
20,"Hérault",7
21,"Pyrénées-Atlantiques",3
22,"Calvados",6
23,"Somme",9
24,"Côte-dOr",14
25,"Ille-et-Vilaine",5
26,"Var",11
27,"Loire",4
28,"Seine-Maritime",6
29,"Maine-et-Loire",8
30,"Puy-de-Dôme",4
31,"Gard",7
32,"Haute-Vienne",3
33,"Sarthe",8
34,"Moselle",10
35,"Doubs",14
36,"Gironde",3
37,"PARIS",15
38,"LYON",16
39,"MARSEILLE",17
40,"TOULOUSE",18
41,"NANTES",19
42,"MONTPELLIER",20
43,"BAYONNE",21
44,"CAEN",22
45,"AMIENS",23
46,"DIJON",24
47,"RENNES",25
48,"TOULON",26
49,"SAINT-ETIENNE",27
50,"LE HAVRE",28
51,"ANGERS",29
52,"CLERMONT-FERRAND",30
53,"NIMES",31
54,"LIMOGES",32
55,"LE MANS",33
56,"METZ",34
57,"BESANCON",35
58,"BORDEAUX",36
